irmode,phase,duration,was_cached,test
numba-nocache,0,3.408300108276308e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,4.281399014871568e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.1216958820004947,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,6.907401257194579e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.0001177540107164,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.0404529410006944,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,4.916900070384145e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,5.133399099577218e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,6.67690037516877e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,3.345499862916768e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,3.1917006708681583e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,5.273098940961063e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,3.289600135758519e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,3.429299977142364e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,4.749299841932952e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,6.816600216552615e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,4.700399585999549e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,3.2894997275434434e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.0335968129948014,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.0001016200112644,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.5362215939967427,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,6.809599290136248e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,4.435000300873071e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.000126764003653,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.705870699006482,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,0.0572979999997187,0,numba.tests.test_analysis.TestBranchPrunePostSemanticConstRewrites.test_attr_not_len
numba-cache,1,0.0573955060099251,0,numba.tests.test_analysis.TestBranchPrunePostSemanticConstRewrites.test_attr_not_len
numba-nocache,0,0.0579991830018116,0,numba.tests.test_analysis.TestBranchPrunePostSemanticConstRewrites.test_attr_not_len
numba-cache,0,0.1752055529941572,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,0,0.109472468990134,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,0,0.1071421249944251,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,0,0.1057387919863686,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,0,0.095551306993002,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,0,0.0909522879956057,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,0,0.0937054560054093,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,0,0.0983230510028079,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,1,0.059475617003045,1,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,1,0.0022151860030135,1,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,1,0.0019435700087342,1,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,1,0.0018924460018752,1,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,1,0.0018807119922712,1,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,1,0.0020838820055359,1,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,1,0.0019546750118024,1,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,1,0.0018897909903898,1,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-nocache,0,0.1794705920037813,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-nocache,0,0.1088247360021341,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-nocache,0,0.1050930679921293,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-nocache,0,0.1021559939981671,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-nocache,0,0.0889957019971916,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-nocache,0,0.0861969169927761,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-nocache,0,0.088429701005225,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-nocache,0,0.0847690619993954,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing
numba-cache,0,0.0613052480039186,0,numba.tests.test_array_manipulation.TestArrayManipulation.test_broadcast_to_raises
